(884, 555)
(400, 506)
(486, 536)
(737, 649)
(183, 776)
(680, 922)
(44, 496)
(838, 375)
(710, 607)
(629, 351)
(194, 931)
(50, 885)
(313, 987)
(310, 802)
(201, 729)
(499, 590)
(26, 860)
(56, 951)
(967, 273)
(100, 240)
(398, 382)
(286, 361)
(19, 682)
(264, 413)
(505, 460)
(980, 970)
(434, 180)
(829, 472)
(8, 635)
(375, 55)
(347, 175)
(829, 553)
(62, 683)
(780, 88)
(969, 716)
(927, 985)
(913, 302)
(992, 126)
(613, 646)
(131, 66)
(174, 560)
(675, 823)
(846, 878)
(803, 16)
(228, 474)
(655, 81)
(685, 280)
(500, 857)
(817, 374)
(610, 832)
(303, 202)
(839, 258)
(465, 352)
(237, 273)
(514, 194)
(225, 911)
(678, 560)
(468, 785)
(507, 706)
(884, 267)
(436, 181)
(389, 411)
(611, 721)
(836, 438)
(677, 217)
(484, 169)
(820, 304)
(267, 273)
(118, 617)
(29, 956)
(561, 519)
(420, 769)
(494, 372)
(644, 915)
(850, 326)
(723, 822)
(283, 63)
(13, 387)
(868, 232)
(645, 491)
(650, 524)
(839, 524)
(714, 132)
(416, 643)
(344, 302)
(970, 140)
(863, 845)
(178, 14)
(689, 820)
(619, 798)
(847, 364)
(474, 834)
(349, 950)
(821, 347)
(182, 891)
(708, 681)
(904, 857)
(771, 218)
(635, 698)
(509, 746)
(409, 282)
(629, 813)
(405, 387)
(221, 955)
(706, 653)
(334, 633)
(243, 583)
(173, 779)
(944, 611)
(771, 37)
(817, 479)
(379, 827)
(69, 685)
(546, 453)
(422, 403)
(185, 379)
(84, 251)
(535, 104)
(914, 709)
(36, 798)
(414, 792)
(270, 776)
(323, 674)
(830, 836)
(315, 592)
(541, 531)
(414, 351)
(35, 540)
(413, 968)
(217, 325)
(366, 606)
(941, 841)
(88, 931)
(316, 29)
(369, 193)
(294, 464)
(617, 139)
(613, 736)
(379, 287)
(903, 390)
(781, 847)
(169, 937)
(995, 117)
(523, 568)
(372, 795)
(373, 247)
(785, 920)
(956, 212)
(984, 551)
(26, 521)
(179, 878)
(382, 432)
(451, 512)
(925, 370)
(730, 828)
(340, 73)
(679, 254)
(934, 360)
(230, 746)
(652, 153)
(43, 791)
(16, 719)
(435, 898)
(216, 363)
(192, 767)
(179, 809)
(794, 723)
(351, 843)
(193, 484)
(472, 709)
(243, 231)
(253, 19)
(894, 255)
(862, 788)
(341, 926)
(191, 221)
(754, 344)
(903, 340)
(0, 250)
(950, 551)
(644, 20)
(477, 674)
(459, 182)
(66, 127)
(895, 355)
(72, 488)
(478, 490)
(645, 571)
(135, 191)
(484, 940)
(483, 136)
(686, 869)
(476, 645)
(382, 927)
(191, 257)
(611, 826)
(35, 718)
(845, 641)
(696, 518)
(150, 103)
(490, 996)
(778, 491)
(296, 449)
(641, 504)
(49, 422)
(714, 465)
(63, 730)
(3, 145)
(259, 948)
(160, 186)
(30, 32)
(993, 329)
(794, 849)
(536, 119)
(149, 463)
(15, 734)
(137, 933)
(351, 111)
(445, 220)
(795, 127)
(669, 972)
(971, 349)
(796, 444)
(737, 319)
(827, 796)
(109, 339)
(907, 130)
(733, 534)
(689, 236)
(146, 339)
(748, 102)
(238, 569)
(198, 829)
(512, 730)
(621, 948)
(544, 163)
(478, 709)
(846, 11)
(282, 894)
(240, 28)
(917, 74)
(456, 104)
(963, 796)
(116, 597)
(762, 892)
(457, 251)
(634, 600)
(795, 871)
(49, 618)
(922, 458)
(795, 240)
(914, 50)
(507, 115)
(326, 416)
(359, 593)
(873, 938)
(629, 284)
(206, 231)
(609, 75)
(282, 954)
(368, 549)
(928, 296)
(561, 902)
(822, 288)
(577, 994)
(909, 520)
(101, 642)
(741, 381)
(459, 297)
(230, 879)
(338, 27)
(572, 288)
(372, 168)
(14, 163)
(533, 82)
(441, 213)
(493, 301)
(324, 190)
(443, 318)
(425, 104)
(758, 108)
(905, 773)
(180, 479)
(244, 102)
(662, 548)
(149, 245)
(401, 921)
(847, 454)
(723, 8)
(32, 752)
(849, 614)
(732, 322)
(708, 208)
(209, 164)
(53, 692)
(872, 7)
(201, 814)
(815, 375)
(923, 699)
(668, 109)
(183, 832)
(158, 192)
(741, 678)
(524, 211)
(532, 814)
(887, 337)
(213, 783)
(203, 981)
(366, 32)
(434, 299)
(501, 615)
(67, 45)
(26, 460)
(143, 119)
(519, 973)
(502, 618)
(977, 651)
(759, 711)
(848, 870)
(276, 833)
(415, 645)
(897, 214)
(440, 258)
(372, 785)
(349, 938)
(135, 732)
(302, 672)
(140, 604)
(343, 489)
(33, 502)
(242, 195)
(477, 645)
(801, 63)
(246, 66)
(274, 111)
(697, 726)
(224, 639)
(525, 406)
(785, 198)
(811, 318)
(910, 772)
(988, 690)
(762, 988)
(789, 195)
(151, 211)
(655, 793)
(400, 387)
(927, 927)
(518, 299)
(881, 411)
(83, 996)
(275, 155)
(982, 629)
(689, 238)
(570, 158)
(947, 737)
(557, 8)
(491, 602)
(896, 123)
(634, 829)
(110, 298)
(811, 34)
(591, 750)
(996, 392)
(646, 783)
(844, 230)
(961, 765)
(599, 653)
(806, 580)
(992, 701)
(10, 475)
(301, 699)
(870, 445)
(577, 393)
(754, 938)
(812, 192)
(693, 517)
(100, 936)
(381, 358)
(683, 196)
(127, 696)
(509, 385)
(935, 263)
(976, 197)
(553, 5)
(391, 488)
(181, 126)
(721, 190)
(996, 493)
(728, 197)
(987, 60)
(378, 966)
(674, 143)
(821, 172)
(127, 189)
(347, 633)
(771, 588)
(721, 311)
(38, 261)
(192, 176)
(978, 839)
(60, 269)
(932, 979)
(328, 515)
(342, 46)
(270, 438)
(175, 733)
(144, 394)
(630, 257)
(756, 41)
(781, 296)
(436, 862)
(520, 524)
(22, 133)
(491, 970)
(403, 7)
(334, 405)
(427, 789)
(983, 987)
(702, 5)
(214, 983)
(338, 563)
(788, 29)
(109, 749)
(129, 556)
(756, 407)
(359, 272)
(599, 731)
(107, 157)
(582, 926)
(800, 576)
(263, 961)
(661, 529)
(186, 57)
(946, 215)
(919, 773)
(192, 634)
(445, 701)
(876, 414)
(518, 973)
(976, 923)
(450, 30)
(639, 492)
(249, 989)
(45, 866)
(666, 604)
(23, 681)
(758, 53)
(197, 244)
(332, 660)
(524, 166)
(156, 892)
(637, 708)
(4, 42)
(139, 470)
(798, 356)
(3, 812)
(447, 160)
(465, 916)
(89, 952)
(687, 345)
(685, 535)
(418, 209)
(305, 0)
(986, 2)
(763, 733)
(504, 814)
(687, 362)
(612, 568)
(927, 853)
(537, 847)
(944, 591)
(756, 138)
(450, 698)
(124, 905)
(461, 474)
(880, 227)
(826, 200)
(931, 191)
(372, 0)
(895, 736)
(208, 153)
(850, 928)
(922, 449)
(998, 144)
(298, 98)
(2, 998)
(871, 358)
(673, 167)
(394, 721)
(163, 745)
(66, 482)
(771, 112)
(125, 964)
(644, 63)
(198, 895)
(846, 26)
(879, 211)
(466, 355)
(49, 192)
(533, 646)
(482, 843)
(248, 791)
(719, 607)
(801, 654)
(557, 425)
(736, 317)
(195, 539)
(103, 922)
(247, 285)
(475, 641)
(509, 669)
(699, 851)
(612, 998)
(590, 425)
(773, 898)
(307, 831)
(607, 370)
(258, 229)
(201, 331)
(902, 655)
(917, 918)
(793, 958)
(953, 279)
(95, 212)
(423, 311)
(679, 339)
(901, 331)
(282, 612)
(283, 728)
(653, 122)
(685, 985)
(629, 127)
(789, 178)
(243, 712)
(299, 575)
(465, 828)
(4, 484)
(144, 316)
(956, 164)
(299, 566)
(745, 414)
(681, 10)
(869, 835)
(103, 611)
(963, 714)
(906, 876)
(100, 208)
(244, 653)
(704, 467)
(682, 773)
(257, 846)
(760, 826)
(99, 525)
(223, 117)
(680, 800)
(642, 638)
(926, 727)
(630, 646)
(497, 309)
(530, 18)
(317, 891)
(168, 854)
(120, 533)
(456, 243)
(208, 922)
(177, 46)
(462, 184)
(998, 604)
(951, 331)
(996, 25)
(792, 702)
(981, 453)
(992, 126)
(164, 578)
(432, 446)
(581, 336)
(324, 386)
(117, 443)
(443, 620)
(616, 202)
(571, 808)
(774, 154)
(995, 245)
(508, 888)
(781, 146)
(745, 723)
(816, 741)
(692, 49)
(221, 265)
(481, 324)
(512, 510)
(670, 208)
(397, 44)
(367, 764)
(424, 332)
(665, 991)
(806, 791)
(848, 480)
(427, 488)
(394, 931)
(655, 77)
(882, 237)
(298, 310)
(779, 956)
(331, 154)
(330, 62)
(993, 219)
(584, 798)
(763, 97)
(109, 958)
(535, 233)
(919, 555)
(516, 415)
(793, 776)
(434, 599)
(290, 849)
(47, 157)
(756, 364)
(320, 232)
(800, 110)
(52, 43)
(465, 52)
(587, 529)
(554, 351)
(580, 548)
(127, 912)
(124, 266)
(656, 459)
(219, 520)
(559, 706)
(505, 148)
(132, 944)
(135, 170)
(884, 313)
(892, 634)
(762, 581)
(374, 236)
(898, 124)
(208, 373)
(480, 756)
(494, 99)
(877, 536)
(234, 640)
(194, 708)
(167, 870)
(73, 92)
(168, 490)
(722, 858)
(600, 103)
(139, 755)
(32, 703)
(72, 399)
(931, 426)
(420, 704)
(76, 473)
(36, 830)
(927, 738)
(760, 560)
(290, 229)
(835, 104)
(154, 376)
(857, 268)
(977, 11)
(599, 987)
(652, 814)
(749, 479)
(767, 754)
(85, 644)
(24, 489)
(244, 563)
(761, 710)
(496, 712)
(254, 512)
(736, 512)
(89, 66)
(922, 753)
(872, 981)
(452, 222)
(794, 324)
(980, 985)
(301, 233)
